Sample_ID,ACR_Class,ANXA5,AP1M1,C1GALT1C1,CLK1,EFTUD2,MAP1A,SENP6,SENP7,TSC22D1,SPCS3,ZMAT1,ETAA1,ZNF493,CCDC82,NFYB,F13A1,TUBB1,Set_Type,probability,numbers
R.1998.7.20A1,1,13.545398,12.543416,10.490393,12.081673,11.334197,7.461529,9.543095,11.207152,10.209252,10.576473,7.026047,5.6904,9.068796,8.813015,6.986001,12.690092,14.152486,0,0.479105748,101
R.2917.7.20A1,1,13.354461,12.337479,10.933503,13.31998,10.482883,6.844497,10.876196,12.035058,10.317166,11.499743,8.214702,7.824384,11.084512,9.508866,8.698752,12.942539,14.786755,0,0.498433129,102
R.1037.13,1,12.545428,11.473493,10.828923,14.428907,10.244647,6.113304,10.806791,11.90837,10.544593,11.315918,8.680119,9.902512,11.963804,10.929648,9.941123,9.9935,12.376808,0,0.498903562,103
R.559.14,0,12.587621,11.464805,11.653375,14.711769,9.905057,5.695603,10.928854,11.741678,9.779798,10.456643,7.723084,8.280566,10.835942,11.260779,9.442247,9.928854,12.126378,0,0.499579117,104
R.3957.8.20A1,1,13.285324,11.981417,11.261098,13.6808,10.93366,6.966314,11.23008,12.105356,11.132486,11.71308,8.300014,9.040152,11.521579,10.676832,9.919215,12.444309,14.580602,0,0.584305938,105
R.3437.18.20A1,1,13.475544,12.263054,10.962568,13.434951,10.939497,6.113379,10.688212,12.176072,10.137987,11.308343,7.087555,6.714925,10.119945,9.185059,8.162434,11.499508,13.444999,0,0.597714351,106
R.2039.8,1,13.500636,11.820878,10.965336,13.180922,10.611913,7.702559,11.12106,11.570286,10.377158,11.473342,9.262646,9.363575,11.377158,10.034318,9.122213,11.160869,13.319531,0,0.622739893,107
R.2660.21,1,13.339755,12.188182,10.733122,13.714078,10.755728,7.333462,11.144493,11.559989,9.638113,11.530796,8.285441,9.631143,12.086122,10.698535,9.327007,11.793284,13.528571,0,0.633997207,108
R.546.9,0,11.663932,11.677398,11.120873,14.401139,10.145073,5.058533,11.656829,12.773824,8.766193,12.433762,10.107672,10.834752,11.873429,11.061471,11.461638,8.210928,10.729113,0,0.723125598,109
R.2941.7.20A1,1,13.400546,11.688255,11.281729,13.94604,10.917219,7.592486,10.867797,12.23408,10.240201,11.790978,8.322864,9.109862,11.490832,10.609326,9.907812,10.865259,13.083066,0,0.755358142,110
R.1358.13,1,12.722771,10.989114,11.129692,14.540416,9.789025,6.766811,11.269677,12.013953,10.072731,11.585492,8.614808,9.819922,12.13897,11.293613,10.479444,10.086249,11.899076,1,0.794659109,111
R.592.13,1,12.987511,12.252098,11.526434,14.134125,10.15372,5.257562,11.403436,11.812865,8.911137,11.497514,7.314742,8.042803,11.96272,11.188383,9.297994,9.947438,11.438116,0,0.803643888,112
R.2939.7,1,13.583917,11.723579,11.245168,14.552554,10.362382,6.431292,11.702545,12.168123,9.624946,11.723304,8.574656,9.404121,12.297048,10.968365,9.393108,10.776184,12.981292,0,0.846960719,113
R.598.11,1,12.145601,10.113476,12.582267,15.577217,8.453285,4.940215,12.771522,13.368575,10.253098,13.056992,9.588872,10.712805,12.495443,12.433404,11.888582,9.730292,12.988248,0,0.961248665,114
